# P[GPa] T[K]
3.464117830235497308e+01 1.723205891511774780e+03
3.573246765740428543e+01 1.700000000000000000e+03
3.726812351752369779e+01 1.650000000000000227e+03
4.000000000000000000e+01 1.617702457407166548e+03
4.163256745962218730e+01 1.600000000000000000e+03
4.636882673457701998e+01 1.500000000000000000e+03
4.719329864435829336e+01 1.550000000000000000e+03
4.898209310588069343e+01 1.450000000000000000e+03
5.000000000000000000e+01 1.425913217555103529e+03
5.180290089030940237e+01 1.400000000000000000e+03
5.580203906289663962e+01 1.350000000000000000e+03
5.933480000359393358e+01 1.300000000000000000e+03
6.000000000000000000e+01 1.287268387709666058e+03
6.321593206772504914e+01 1.250000000000000000e+03
6.981951415770191716e+01 1.200000000000000000e+03
7.000000000000000000e+01 1.199705448372637647e+03
7.004690796364238281e+01 1.200000000000000000e+03
7.159257176407442103e+01 1.250000000000000000e+03
7.399214344172773394e+01 1.300000000000000000e+03
8.000000000000000000e+01 1.334800432099805676e+03
8.207496562831975950e+01 1.350000000000000000e+03
8.890806376307207870e+01 1.400000000000000000e+03
9.000000000000000000e+01 1.404597154658087447e+03
9.528008312631575905e+01 1.450000000000000000e+03
1.000000000000000000e+02 1.489734463097002390e+03
1.027333606929304324e+02 1.500000000000000000e+03
1.099999999999999858e+02 1.536437094969220198e+03
1.150025268611176159e+02 1.550000000000000000e+03
1.200000000000000000e+02 1.565343116889831663e+03
1.300000000000000000e+02 1.599921853558488237e+03
1.300187250477636098e+02 1.600000000000000000e+03
1.400000000000000000e+02 1.635872361432574280e+03
1.431414334905764463e+02 1.650000000000000000e+03
1.500000000000000000e+02 1.682764646771614480e+03
1.600000000000000000e+02 1.699912766992456000e+03
1.600475149739522749e+02 1.700000000000000227e+03
1.700000000000000000e+02 1.727304887635620616e+03
1.793556814548108207e+02 1.750000000000000000e+03
1.800000000000000000e+02 1.750902021603212006e+03
1.900000000000000000e+02 1.765250604073945397e+03
2.000000000000000000e+02 1.788947310846634082e+03
2.040190222870810999e+02 1.800000000000000000e+03
2.100000000000000000e+02 1.818861861226481778e+03
2.200000000000000000e+02 1.835218615900062787e+03
2.299999999999999716e+02 1.845004253728681988e+03
2.339489876172604568e+02 1.850000000000000000e+03
2.400000000000000000e+02 1.858285169225191567e+03
2.500000000000000000e+02 1.873248398237961283e+03
2.600000000000000000e+02 1.885137098766006829e+03
2.700000000000000000e+02 1.896554949256259306e+03
2.730970843076032679e+02 1.900000000000000000e+03
2.800000000000000000e+02 1.907049629935529993e+03
2.900000000000000000e+02 1.913621978599307567e+03
3.000000000000000000e+02 1.917905150042911373e+03
3.100000000000000000e+02 1.921857458745344502e+03
3.200000000000000000e+02 1.925883131815896604e+03
3.300000000000000000e+02 1.929984231120204186e+03
3.400000000000000000e+02 1.934162896518046637e+03
3.500000000000000000e+02 1.938421349586407814e+03
3.600000000000000000e+02 1.937667482404003749e+03
3.700000000000000000e+02 1.936955221928410310e+03
3.800000000000000000e+02 1.936281216183585002e+03
3.900000000000000000e+02 1.935642463839020820e+03
4.000000000000000000e+02 1.935036269527607146e+03
4.100000000000000000e+02 1.932467935331398166e+03
4.200000000000000000e+02 1.929694788244520851e+03
4.300000000000000000e+02 1.926691311509539219e+03
4.400000000000000000e+02 1.923427566017638583e+03
4.500000000000000000e+02 1.919868188861745921e+03
4.600000000000000000e+02 1.917097157514259834e+03
4.700000000000000000e+02 1.914313466412253092e+03
4.800000000000000000e+02 1.911517028600920639e+03
4.900000000000000000e+02 1.908707756327286688e+03
5.000000000000000000e+02 1.905885561031024054e+03
5.100000000000000000e+02 1.901324342229122522e+03
5.128409872241326184e+02 1.900000000000000000e+03
5.200000000000000000e+02 1.895752526199260046e+03
5.300000000000000000e+02 1.889442948329155342e+03
5.400000000000000000e+02 1.882648716548939319e+03
5.500000000000000000e+02 1.875311759398603272e+03
5.600000000000000000e+02 1.867242460891506880e+03
5.700000000000000000e+02 1.857764014098255529e+03
5.770684893038586551e+02 1.850000000000000000e+03
5.799999999999998863e+02 1.847550304316331221e+03
5.900000000000000000e+02 1.837727565395330657e+03
6.000000000000000000e+02 1.824820568765609096e+03
6.100000000000000000e+02 1.817200653963808691e+03
6.200000000000000000e+02 1.808938073155182337e+03
6.299445234852246358e+02 1.800000000000000000e+03
6.300000000000000000e+02 1.799957695369167823e+03
6.400000000000000000e+02 1.791520245791354000e+03
6.500000000000000000e+02 1.781084832352785725e+03
6.600000000000000000e+02 1.772672417207117633e+03
6.700000000000000000e+02 1.764011018709407153e+03
6.800000000000000000e+02 1.755089417033032305e+03
6.855731319356475524e+02 1.750000000000000000e+03
6.900000000000000000e+02 1.745831717720036522e+03
