# P[GPa] T[K] mu_MLP,CL [eV/f.u.]
1.000000000000000178e+01 2.999999999999999432e+02 nan
1.057035922427786012e+01 2.999999999999999432e+02 nan
1.117324941302759456e+01 2.999999999999999432e+02 nan
1.181052599981534001e+01 2.999999999999999432e+02 nan
1.248415024457214706e+01 2.999999999999999432e+02 nan
1.319619526949838573e+01 2.999999999999999432e+02 nan
1.394885243923140195e+01 2.999999999999999432e+02 nan
1.474443810491203344e+01 2.999999999999999432e+02 nan
1.558540073290507699e+01 2.999999999999999432e+02 nan
1.647432844011300546e+01 2.999999999999999432e+02 nan
1.741395695907315400e+01 2.999999999999999432e+02 -1.194178295199504447e+01
1.840717805735164347e+01 2.999999999999999432e+02 -1.189664323077015062e+01
1.945704843714518262e+01 2.999999999999999432e+02 -1.180021345527882914e+01
2.056679914247986218e+01 2.999999999999999432e+02 -1.169684230314343587e+01
2.173984550295819318e+01 2.999999999999999432e+02 -1.159026885050579914e+01
2.297979764465695141e+01 2.999999999999999432e+02 -1.147865087578689902e+01
2.429047160052381926e+01 2.999999999999999432e+02 -1.136233357087582974e+01
2.567590105446561566e+01 2.999999999999999432e+02 -1.124113048834654904e+01
2.714034975527161819e+01 2.999999999999999432e+02 -1.111405286898835776e+01
2.868832463857626180e+01 2.999999999999999432e+02 -1.098275940179752119e+01
3.032458969724521580e+01 2.999999999999999432e+02 -1.084602710175882123e+01
3.205418064287170665e+01 2.999999999999999432e+02 -1.070418891970713915e+01
3.388242040350476714e+01 2.999999999999999432e+02 -1.055619422518781825e+01
3.581493550530468895e+01 2.999999999999999432e+02 -1.040124498617068483e+01
3.785767338854137876e+01 2.999999999999999432e+02 -1.023961838661450763e+01
4.001692071122665340e+01 2.999999999999999432e+02 -1.007028612466744910e+01
4.229932269671103029e+01 2.999999999999999432e+02 -9.893412522862721659e+00
4.471190358478851579e+01 2.999999999999999432e+02 -9.708185864441064794e+00
4.726208824924914609e+01 2.999999999999999432e+02 -9.514828541834058129e+00
4.995772504840846295e+01 2.999999999999999432e+02 -9.313044007451575013e+00
5.280710997893810799e+01 2.999999999999999432e+02 -9.103400331585193683e+00
5.581901220733237068e+01 2.999999999999999432e+02 -8.884986553374789153e+00
5.900270105758540495e+01 2.999999999999999432e+02 -8.657369206341405388e+00
6.236797453813567671e+01 2.999999999999999432e+02 -8.420535341610378310e+00
6.592518949587083910e+01 2.999999999999999432e+02 -8.174296776990781055e+00
6.968529348999439321e+01 2.999999999999999432e+02 -7.917954358414574401e+00
7.365985848384720214e+01 2.999999999999999432e+02 -7.651778298783701970e+00
7.786111645837350181e+01 2.999999999999999432e+02 -7.375271095471016558e+00
8.230199705683408240e+01 2.999999999999999432e+02 -7.087836229270385147e+00
8.699616737661952470e+01 2.999999999999999432e+02 -6.789023388491221667e+00
9.195807403062705987e+01 2.999999999999999432e+02 -6.478320943945227839e+00
9.720298760764647739e+01 2.999999999999999432e+02 -6.155144956745361107e+00
1.027470496685852055e+02 2.999999999999999432e+02 -5.819020330134447860e+00
1.086073224231664796e+02 2.999999999999999432e+02 -5.469465439919408034e+00
1.148018412399836166e+02 2.999999999999999432e+02 -5.105893216850100558e+00
1.213496701515142888e+02 2.999999999999999432e+02 -4.727865338829204234e+00
1.282709605249133347e+02 2.999999999999999432e+02 -4.334889041449112135e+00
1.355870130791498411e+02 2.999999999999999432e+02 -3.926318556018919992e+00
1.433203434393473970e+02 2.999999999999999432e+02 -3.501437211908863034e+00
1.514947514300776277e+02 2.999999999999999432e+02 -3.059542088330922116e+00
1.601353943208602004e+02 2.999999999999999432e+02 -2.600041652767769662e+00
1.692688642492876454e+02 2.999999999999999432e+02 -2.123106208853186683e+00
1.789232700600492478e+02 2.999999999999999432e+02 -1.628307594375357326e+00
1.891283238117199801e+02 2.999999999999999432e+02 -1.113346487179897926e+00
1.999154322175423601e+02 2.999999999999999432e+02 -5.764693415504623664e-01
2.113177933016191901e+02 2.999999999999999432e+02 -1.682650595454603798e-02
2.233704985679811728e+02 2.999999999999999432e+02 5.684968429194710016e-01
2.361106409969603703e+02 2.999999999999999432e+02 1.181008991003604125e+00
2.495774292012377771e+02 2.999999999999999432e+02 1.822305173045219995e+00
2.638123080928857576e+02 2.999999999999999432e+02 2.492340565713615064e+00
2.788590864327666736e+02 2.999999999999999432e+02 3.187855341767792172e+00
2.947640716548288538e+02 2.999999999999999432e+02 3.902318510253603101e+00
3.115762123802319365e+02 2.999999999999999432e+02 4.641502642680903179e+00
3.293472490598938407e+02 2.999999999999999432e+02 nan
3.481318732090786057e+02 2.999999999999999432e+02 nan
3.679878957240713362e+02 2.999999999999999432e+02 nan
3.889764247989535306e+02 2.999999999999999432e+02 nan
4.111620539900240487e+02 2.999999999999999432e+02 nan
4.346130610066481381e+02 2.999999999999999432e+02 nan
4.594016178403257982e+02 2.999999999999999432e+02 nan
4.856040128786654009e+02 2.999999999999999432e+02 nan
5.133008856878344659e+02 2.999999999999999432e+02 nan
5.425774751860390097e+02 2.999999999999999432e+02 nan
5.735238819718136938e+02 2.999999999999999432e+02 nan
6.062353456144405754e+02 2.999999999999999432e+02 nan
6.408125377598876184e+02 2.999999999999999432e+02 nan
6.773618719543130737e+02 2.999999999999999432e+02 nan
7.159958311386390051e+02 2.999999999999999432e+02 nan
7.568333138220797309e+02 2.999999999999999432e+02 nan
7.999999999999998863e+02 2.999999999999999432e+02 nan
1.000000000000000178e+01 3.151607508562855173e+02 nan
1.057035922427786012e+01 3.151607508562855173e+02 nan
1.117324941302759456e+01 3.151607508562855173e+02 nan
