# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.25 1625 50 637.638 0.0165835
1 1625 60 728.294 0.0688723
0.707107 1625 60 683.356 0.0581459
0.5 1625 60 658.007 0.031968
0.25 1625 60 637.408 0.015895
1 1625 70 726.517 0.0506291
0.707107 1625 70 682.148 0.0433146
0.5 1625 70 657.372 0.0353444
0.25 1625 70 637.257 0.0247568
1 1750 10 786.273 0.104786
0.707107 1750 10 736.339 0.089957
0.5 1750 10 708.599 0.048993
0.25 1750 10 686.324 0.0201784
1 1750 15 785.138 0.153155
0.707107 1750 15 735.732 0.0550181
0.5 1750 15 708.301 0.070185
0.25 1750 15 686.278 0.0156221
1 1750 20 783.871 0.0991896
0.707107 1750 20 735.002 0.0834781
0.5 1750 20 707.97 0.0398647
0.25 1750 20 686.225 0.0151708
1 1750 25 782.378 0.0950009
0.707107 1750 25 734.512 0.0458355
0.5 1750 25 707.595 0.0408518
0.25 1750 25 686.085 0.0207577
1 1750 30 780.347 0.112842
0.707107 1750 30 733.399 0.0801442
0.5 1750 30 707.21 0.0347028
0.25 1750 30 685.96 0.019975
1 1750 40 777.175 0.110687
0.707107 1750 40 731.66 0.0440459
0.5 1750 40 706.305 0.0366182
0.25 1750 40 685.721 0.0119156
1 1750 50 774.167 0.125969
0.707107 1750 50 729.786 0.0355699
0.5 1750 50 705.35 0.0346036
0.25 1750 50 685.502 0.0145709
1 1750 60 771.956 0.232143
0.707107 1750 60 728.392 0.0460626
0.5 1750 60 705.214 0.0281509
0.25 1750 60 685.498 0.0184895
1 1750 70 769.815 0.0728213
0.707107 1750 70 727.421 0.0311798
0.5 1750 70 703.967 0.0332755
0.25 1750 70 685.166 0.00972735
1 1875 15 827.309 0.124945
0.707107 1875 15 780.456 0.0922536
0.5 1875 15 754.823 0.0413613
0.25 1875 15 734.198 0.0194693
1 1875 20 826.027 0.116699
0.707107 1875 20 779.826 0.0693342
0.5 1875 20 754.534 0.0501926
0.25 1875 20 734.11 0.0172586
1 1875 30 822.919 0.101728
0.707107 1875 30 778.233 0.0528823
0.5 1875 30 753.681 0.0423141
0.25 1875 30 733.931 0.0157012
1 1875 40 819.871 0.0782826
0.707107 1875 40 776.583 0.0870122
0.5 1875 40 752.823 0.0308643
0.25 1875 40 733.735 0.00998655
1 1875 50 816.92 0.0828011
0.707107 1875 50 775.049 0.0548109
0.5 1875 50 751.932 0.0257382
0.25 1875 50 733.473 0.0150796
1 1875 60 815.056 0.212137
0.707107 1875 60 773.743 0.0358794
0.5 1875 60 751.825 0.0432028
0.25 1875 60 733.483 0.011232
1 1875 70 813.242 0.0650673
0.707107 1875 70 773.034 0.0453867
0.5 1875 70 750.814 0.037159
0.25 1875 70 733.203 0.00690725
1 2000 10 871.215 0.118965
0.707107 2000 10 826.031 0.106304
0.5 2000 10 801.525 0.0469637
0.25 2000 10 782.229 0.013322
1 2000 15 870.034 0.100603
0.707107 2000 15 825.601 0.0694875
0.5 2000 15 801.347 0.0371327
0.25 2000 15 782.202 0.0160459
1 2000 20 868.709 0.0928596
0.707107 2000 20 824.952 0.0745005
0.5 2000 20 801.099 0.0379869
0.25 2000 20 782.112 0.00851369
1 2000 30 865.879 0.119113
0.707107 2000 30 823.587 0.0561769
0.5 2000 30 800.421 0.0271529
0.25 2000 30 781.919 0.0101845
1 2000 40 863.255 0.0733676
0.707107 2000 40 822.003 0.065932
0.5 2000 40 799.614 0.0321166
0.25 2000 40 781.709 0.0154983
1 2000 50 860.467 0.084778
0.707107 2000 50 820.737 0.0493418
0.5 2000 50 798.871 0.0237039
0.25 2000 50 781.549 0.0180171
1 2000 60 858.47 0.0630181
0.707107 2000 60 819.566 0.0508274
0.5 2000 60 798.238 0.0278701
0.25 2000 60 781.378 0.00867028
1 2000 70 857.009 0.0793345
0.707107 2000 70 818.668 0.0489014
0.5 2000 70 797.831 0.0253377
0.25 2000 70 781.277 0.0110345
1 2000 85 855.703 0.0762886
0.707107 2000 85 817.88 0.0305854
0.5 2000 85 797.404 0.0253459
0.25 2000 85 781.148 nan
1 2125 40 906.561 0.0649467
0.707107 2125 40 867.682 0.0468187
0.5 2125 40 846.547 0.0132505
0.25 2125 40 829.817 0.0130983
1 2125 50 903.862 0.0696229
0.707107 2125 50 866.357 0.0569651
0.5 2125 50 845.921 0.0305635
0.25 2125 50 829.666 0.00625629
1 2125 60 902.188 0.0420573
0.707107 2125 60 865.308 0.0498847
0.5 2125 60 845.339 0.0241927
0.25 2125 60 829.493 0.0079713
1 2125 70 900.883 0.0559241
0.707107 2125 70 864.618 0.0369107
