# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.5 1250 30 525.611 0.0605125
0.25 1250 30 495.514 0.0222316
1 1250 400 638.463 0.0803126
0.707107 1250 400 566.911 0.0414903
0.5 1250 400 527.43 0.0300994
0.25 1250 400 495.767 0.00987471
1 1250 50 613.326 0.0797904
0.707107 1250 50 556.249 0.120638
0.5 1250 50 522.849 0.0507328
0.25 1250 50 494.808 0.0172167
1 1250 600 668.073 0.101029
0.707107 1250 600 584.123 0.0596511
0.5 1250 600 536.892 nan
0.25 1250 600 498.3 0.00465102
1 1250 75 605.125 0.159266
0.707107 1250 75 551.442 0.0705284
0.5 1250 75 520.352 0.0365692
0.25 1250 75 494.091 0.0202014
1 1375 100 640.23 0.123057
0.707107 1375 100 591.672 0.0794244
0.5 1375 100 564.078 0.0526048
0.25 1375 100 541.253 0.0201228
1 1375 250 651.785 0.0748913
0.707107 1375 250 0 nan
0.5 1375 250 565.48 0.0267602
0.25 1375 250 541.502 0.00466846
1 1375 30 657.297 0.101936
0.707107 1375 30 601.645 0.0785754
0.5 1375 30 569.493 0.0214213
0.25 1375 30 542.702 0.0217188
1 1375 400 675.39 0.111736
0.707107 1375 400 608.541 0.0658786
0.5 1375 400 572.184 0.045038
0.25 1375 400 543.22 0.0104496
1 1375 50 652.619 0.0968181
0.707107 1375 50 598.987 0.0513471
0.5 1375 50 567.986 0.0409188
0.25 1375 50 542.295 0.0130094
1 1375 600 0 nan
0.707107 1375 600 624.117 0.109867
0.5 1375 600 580.659 0.0547678
0.25 1375 600 545.481 0.0106668
1 1375 75 645.551 0.0661516
0.707107 1375 75 595.027 0.045132
0.5 1375 75 565.914 0.0620297
0.25 1375 75 541.739 0.0163509
1 1500 100 682.932 0.085432
0.707107 1500 100 636.452 0.0672198
0.5 1500 100 610.311 0.043778
0.25 1500 100 589.163 0.0258395
1 1500 125 680.151 0.0982782
0.707107 1500 125 634.731 0.128411
0.5 1500 125 609.042 0.0737812
0.25 1500 125 588.797 0.0145925
1 1500 150 680.36 0.10855
0.707107 1500 150 634.208 0.0532584
0.5 1500 150 608.892 0.0316529
0.25 1500 150 588.691 0.02721
1 1500 175 682.628 0.0599963
0.707107 1500 175 634.981 0.0567315
0.5 1500 175 609.115 0.0247979
0.25 1500 175 588.73 0.0115553
1 1500 200 685.476 0.0736624
0.707107 1500 200 636.261 0.0210778
0.5 1500 200 609.821 0.0357758
0.25 1500 200 588.893 0.0112356
1 1500 20 701.441 0.151484
0.707107 1500 20 646.937 0.0828841
0.5 1500 20 615.819 0.0795524
0.25 1500 20 590.603 0.0196806
1 1500 250 692.098 0.0550957
0.707107 1500 250 639.607 0.055318
0.5 1500 250 611.477 0.0189585
0.25 1500 250 589.292 0.000428906
1 1500 300 699.29 0.0741246
0.707107 1500 300 643.285 0.0285931
0.5 1500 300 613.343 0.0257001
0.25 1500 300 589.81 0.00259629
1 1500 30 701.032 0.0852347
0.707107 1500 30 646.928 0.0545767
0.5 1500 30 615.96 0.0523762
0.25 1500 30 590.625 0.0238552
1 1500 350 706.589 0.0812975
0.707107 1500 350 647.151 0.0406966
0.5 1500 350 615.32 0.0151755
0.25 1500 350 590.293 0.00708124
1 1500 400 713.918 0.112233
0.707107 1500 400 651.068 nan
0.5 1500 400 617.375 nan
0.25 1500 400 590.791 0.00587733
1 1500 40 697.072 0.0639346
0.707107 1500 40 644.585 0.100564
0.5 1500 40 614.709 0.0311062
0.25 1500 40 590.288 0.0162178
1 1500 450 721.02 0.104675
0.707107 1500 450 654.918 0.044159
0.5 1500 450 619.441 0.0395108
0.25 1500 450 591.349 0.00936554
1 1500 500 727.661 0.152158
0.707107 1500 500 658.609 0.0456749
0.5 1500 500 621.397 0.0158035
0.25 1500 500 591.889 0.00991053
1 1500 50 693.088 0.0887429
0.707107 1500 50 642.314 0.0887905
0.5 1500 50 613.557 0.0392251
0.25 1500 50 590.005 0.0200731
1 1500 550 733.447 0.196698
0.707107 1500 550 0 nan
0.5 1500 550 623.192 0.0872927
0.25 1500 550 592.35 0.0219277
1 1500 600 738.487 0.4605
0.707107 1500 600 664.878 nan
0.5 1500 600 624.957 0.0867122
0.25 1500 600 592.843 0.0282783
1 1500 60 690.151 0.0905152
0.707107 1500 60 640.862 0.0699734
0.5 1500 60 612.734 0.0393347
0.25 1500 60 589.767 0.0173343
1 1500 700 741.766 0.385064
0.707107 1500 700 668.729 0.324265
0.5 1500 700 627.227 0.0774118
0.25 1500 700 593.599 0.0321065
1 1500 75 686.583 0.104431
0.707107 1500 75 638.777 0.0547358
0.5 1500 75 611.636 0.0361382
0.25 1500 75 589.486 0.011546
1 1500 800 748.31 0.191436
0.707107 1500 800 671.63 0.305647
0.5 1500 800 628.41 0.0341643
0.25 1500 800 593.78 0.0435955
1 1625 100 725.132 0.0699873
0.707107 1625 100 681.435 0.0463513
0.5 1625 100 656.943 0.0390385
0.25 1625 100 637.163 0.027227
1 1625 250 732.952 0.0545496
0.707107 1625 250 684.05 0.0422346
0.5 1625 250 657.924 0.0285411
0.25 1625 250 637.33 0.0227368
1 1625 30 738.403 0.0852536
0.707107 1625 30 689.053 0.0958055
0.5 1625 30 661.133 0.0462376
0.25 1625 30 638.31 0.0394895
1 1625 400 752.225 0.19972
0.707107 1625 400 694.248 0.0226859
0.5 1625 400 663.135 0.0518929
0.25 1625 400 638.678 0.0113077
1 1625 40 737.438 0.121496
0.707107 1625 40 688.564 0.0765284
0.5 1625 40 660.882 0.0563499
0.25 1625 40 638.239 0.0411572
1 1625 50 733.856 0.0917048
0.707107 1625 50 686.401 0.0575526
0.5 1625 50 659.632 0.0368519
0.25 1625 50 637.867 0.0167937
1 1625 600 771.398 0.484596
0.707107 1625 600 705.827 0.261517
0.5 1625 600 669.413 0.0130718
0.25 1625 600 640.359 0.0389105
