# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.25 1375 100 540.243 0.0071669
1 1375 250 653.588 0.0601969
0.707107 1375 250 596.734 0.0601523
0.5 1375 250 565.959 0.0254469
0.25 1375 250 541.582 0.0133822
1 1375 30 661.091 0.139836
0.707107 1375 30 603.918 0.0703199
0.5 1375 30 570.623 0.0381267
0.25 1375 30 543.009 0.0284275
1 1375 400 674.896 0.0442993
0.707107 1375 400 608.181 0.0311576
0.5 1375 400 571.947 0.0543584
0.25 1375 400 543.133 0.0118228
1 1375 50 652.479 0.125693
0.707107 1375 50 598.967 0.103227
0.5 1375 50 567.978 0.0500267
0.25 1375 50 542.273 0.0166148
1 1375 600 702.38 0.183406
0.707107 1375 600 623.991 0.0555582
0.5 1375 600 580.466 0.0348784
0.25 1375 600 545.436 0.0173913
1 1375 75 632.648 0.16576
0.707107 1375 75 587.023 0.233839
0.5 1375 75 561.304 0.068912
0.25 1375 75 540.726 0.0481026
1 1500 100 674.164 0.0666482
0.707107 1500 100 630.664 0.0563739
0.5 1500 100 607.057 0.0236722
0.25 1500 100 588.212 0.00691502
1 1500 125 677.301 0.0382787
0.707107 1500 125 631.956 0.0308603
0.5 1500 125 607.608 0.0236675
0.25 1500 125 588.317 0.0106207
1 1500 150 681.527 0.0305381
0.707107 1500 150 634 0.0301869
0.5 1500 150 608.597 0.024224
0.25 1500 150 588.564 0.00613936
1 1500 175 685.697 0.0515444
0.707107 1500 175 636.122 0.0426565
0.5 1500 175 609.643 0.0242887
0.25 1500 175 588.843 0.00803822
1 1500 200 688.969 0.0394931
0.707107 1500 200 637.777 0.0657172
0.5 1500 200 610.481 0.0318416
0.25 1500 200 589.034 0.0128027
1 1500 20 701.815 0.140896
0.707107 1500 20 647.042 0.125512
0.5 1500 20 616.002 0.0764789
0.25 1500 20 590.682 0.0217414
1 1500 250 693.658 0.0443137
0.707107 1500 250 640.27 0.0456826
0.5 1500 250 611.777 0.0175471
0.25 1500 250 589.35 0.00728232
1 1500 300 700.149 0.0823339
0.707107 1500 300 643.664 0.0397183
0.5 1500 300 613.527 0.0293016
0.25 1500 300 589.822 nan
1 1500 30 701.27 0.130095
0.707107 1500 30 646.986 0.102684
0.5 1500 30 616.161 0.0703982
0.25 1500 30 590.654 0.0141733
1 1500 350 706.543 0.0394746
0.707107 1500 350 647.064 0.0238782
0.5 1500 350 615.275 0.0185703
0.25 1500 350 590.255 0.00747552
1 1500 400 713.419 0.0692967
0.707107 1500 400 650.766 0.041489
0.5 1500 400 617.221 0.0293824
0.25 1500 400 590.755 0.00735682
1 1500 40 696.842 0.167529
0.707107 1500 40 644.552 0.0862283
0.5 1500 40 614.658 0.05108
0.25 1500 40 590.29 0.0181156
1 1500 450 720.372 0.0974716
0.707107 1500 450 654.54 0.0850695
0.5 1500 450 619.167 0.0417803
0.25 1500 450 591.297 0.00589292
1 1500 500 726.885 0.112076
0.707107 1500 500 658.218 nan
0.5 1500 500 621.167 0.0263391
0.25 1500 500 591.793 0.0170468
1 1500 50 693.077 0.105584
0.707107 1500 50 642.36 0.0638966
0.5 1500 50 613.585 0.0419219
0.25 1500 50 589.998 0.0199607
1 1500 550 733.374 0.107686
0.707107 1500 550 661.843 0.0910343
0.5 1500 550 623.109 0.00978702
0.25 1500 550 592.319 0.013498
1 1500 600 738.757 0.271739
0.707107 1500 600 665.113 0.0353163
0.5 1500 600 624.911 0.0331225
0.25 1500 600 592.747 0.0239205
1 1500 60 689.915 0.095319
0.707107 1500 60 640.755 0.069142
0.5 1500 60 612.725 0.0401695
0.25 1500 60 589.759 0.0135255
1 1500 700 747.725 0.547618
0.707107 1500 700 670.458 0.190587
0.5 1500 700 627.931 0.025401
0.25 1500 700 593.607 0.026275
1 1500 75 675.219 0.177803
0.707107 1500 75 633.829 0.70008
0.5 1500 75 608.208 0.137043
0.25 1500 75 588.464 0.0357949
1 1500 800 748.627 0.725703
0.707107 1500 800 672.845 0.305563
0.5 1500 800 629.215 0.235704
0.25 1500 800 594.038 0.0781565
1 1625 100 717.08 0.0931281
0.707107 1625 100 676.294 0.0612282
0.5 1625 100 653.963 0.0359606
0.25 1625 100 636.321 0.0309349
1 1625 250 733.866 0.0741669
0.707107 1625 250 684.404 0.0529633
0.5 1625 250 658.051 0.01699
0.25 1625 250 637.374 0.0152904
1 1625 30 738.82 0.279285
0.707107 1625 30 688.828 0.0741998
0.5 1625 30 660.92 0.0487358
0.25 1625 30 638.177 0.0260833
1 1625 400 751.94 0.0383792
0.707107 1625 400 694.098 nan
0.5 1625 400 662.95 0.0378488
0.25 1625 400 638.643 0.0187109
1 1625 40 737.5 0.121015
0.707107 1625 40 688.508 0.0421716
0.5 1625 40 660.697 0.0396834
0.25 1625 40 638.161 0.0173145
1 1625 50 733.761 0.0996209
0.707107 1625 50 686.301 0.0747588
0.5 1625 50 659.66 0.0340939
0.25 1625 50 637.848 0.0246339
1 1625 600 772.106 0.527193
0.707107 1625 600 707.201 0.11545
0.5 1625 600 670.031 0.0653642
0.25 1625 600 640.557 0.0283159
1 1625 75 728.059 0.148158
0.707107 1625 75 683.07 0.054722
0.5 1625 75 657.855 0.0377827
0.25 1625 75 637.385 0.0208621
1 1750 100 761.007 0.116892
0.707107 1750 100 722.175 0.102183
0.5 1750 100 701.575 0.231078
0.25 1750 100 684.38 0.0200633
1 1750 125 762.967 0.0586212
0.707107 1750 125 722.743 0.0376189
0.5 1750 125 701.252 0.0216881
0.25 1750 125 684.396 0.00777057
1 1750 150 766.049 0.0531147
0.707107 1750 150 724.176 0.0304954
0.5 1750 150 701.934 0.0216868
0.25 1750 150 684.558 0.00427871
1 1750 200 771.679 0.0816745
0.707107 1750 200 727.013 0.0292323
0.5 1750 200 703.382 0.027492
0.25 1750 200 684.91 0.0030118
1 1750 250 776.194 0.0898847
0.707107 1750 250 729.345 0.0333409
0.5 1750 250 704.592 0.0173807
0.25 1750 250 685.219 0.00548568
1 1750 300 781.565 0.04083
0.707107 1750 300 732.154 0.0309841
0.5 1750 300 706.006 0.0126015
0.25 1750 300 685.584 0.0138277
1 1750 30 780.925 0.214595
0.707107 1750 30 733.571 0.0766329
0.5 1750 30 707.215 0.0434333
0.25 1750 30 685.99 0.0206952
1 1750 400 792.512 0.0997189
0.707107 1750 400 738.041 0.0511062
0.5 1750 400 709.012 0.0473313
0.25 1750 400 686.343 0.0179935
1 1750 40 779.788 0.08008
0.707107 1750 40 733.123 0.0885099
0.5 1750 40 706.966 0.0438073
0.25 1750 40 685.952 0.0178986
1 1750 50 776.283 0.111715
0.707107 1750 50 731.188 0.070369
0.5 1750 50 705.921 0.0243369
0.25 1750 50 685.656 0.017737
1 1750 600 808.97 0.686795
0.707107 1750 600 747.645 0.396609
0.5 1750 600 714.591 0.149754
0.25 1750 600 687.925 0.0215587
1 1750 75 770.923 0.0811762
0.707107 1750 75 728.137 0.0335957
0.5 1750 75 704.355 0.0279523
0.25 1750 75 685.259 0.0162958
1 1875 100 811.648 0.0574535
0.707107 1875 100 772.023 0.0349866
0.5 1875 100 750.332 0.0179114
0.25 1875 100 733.081 0.00765618
1 1875 250 819.687 0.0813213
0.707107 1875 250 775.133 0.0462039
0.5 1875 250 751.573 0.0142594
0.25 1875 250 733.314 0.00797691
1 1875 400 833.506 0.421931
0.707107 1875 400 782.921 0.108668
0.5 1875 400 755.642 0.0345627
0.25 1875 400 734.33 0.0232096
1 1875 40 821.477 0.234401
